region,postcode_sector,year,avg_price,volume
East Midlands,NG5 6,2023,115000,197
East Midlands,NG5 7,2023,112000,129
East Midlands,NG5 8,2023,157000,143
East Midlands,NG5 9,2023,91000,94
East Midlands,NG6 0,2023,93000,121
East Midlands,NG6 7,2023,102000,61
East Midlands,NG6 8,2023,107000,173
East Midlands,NG6 9,2023,97000,108
East Midlands,NG7 1,2023,194000,155
East Midlands,NG7 2,2023,146000,96
East Midlands,NG7 3,2023,104000,41
East Midlands,NG7 4,2023,132000,45
East Midlands,NG7 5,2023,80000,83
East Midlands,NG7 6,2023,89000,99
East Midlands,NG7 7,2023,93000,68
East Midlands,NG8 1,2023,181000,108
East Midlands,NG8 2,2023,203000,144
East Midlands,NG8 3,2023,142000,97
East Midlands,NG8 4,2023,101000,73
East Midlands,NG8 5,2023,88000,141
East Midlands,NG8 6,2023,117000,97
East Midlands,NG9 1,2023,164000,152
East Midlands,NG9 2,2023,138000,185
East Midlands,NG9 3,2023,222000,151
East Midlands,NG9 4,2023,178000,70
East Midlands,NG9 5,2023,154000,115
East Midlands,NG9 6,2023,175000,136
East Midlands,NG9 7,2023,130000,108
East Midlands,NG9 8,2023,111000,142
East Midlands,S1 1,2023,124000,4
East Midlands,S1 2,2023,158000,35
East Midlands,S1 4,2023,118000,102
East Midlands,S10 1,2023,150000,226
East Midlands,S10 2,2023,238000,43
East Midlands,S10 3,2023,310000,140
East Midlands,S10 4,2023,282000,89
East Midlands,S10 5,2023,190000,134
East Midlands,S11 7,2023,218000,160
East Midlands,S11 8,2023,169000,166
East Midlands,S11 9,2023,332000,173
East Midlands,S12 2,2023,109000,162
East Midlands,S12 3,2023,130000,101
East Midlands,S12 4,2023,96000,124
East Midlands,S13 7,2023,105000,108
East Midlands,S13 8,2023,103000,118
East Midlands,S13 9,2023,123000,111
East Midlands,S14 1,2023,73000,45
East Midlands,S17 3,2023,312000,109
East Midlands,S17 4,2023,224000,122
East Midlands,S18 1,2023,167000,97
East Midlands,S18 2,2023,146000,89
East Midlands,S18 3,2023,173000,19
East Midlands,S18 4,2023,138000,12
East Midlands,S18 7,2023,235000,14
East Midlands,S18 8,2023,210000,91
East Midlands,S2 1,2023,93000,92
East Midlands,S2 2,2023,102000,64
East Midlands,S2 3,2023,112000,101
East Midlands,S2 4,2023,102000,69
East Midlands,S2 5,2023,90000,56
East Midlands,S20 1,2023,113000,82
East Midlands,S20 2,2023,111000,63
East Midlands,S20 3,2023,192000,4
East Midlands,S20 4,2023,124000,78
East Midlands,S20 5,2023,165000,87
East Midlands,S20 6,2023,146000,57
East Midlands,S20 7,2023,104000,54
East Midlands,S20 8,2023,104000,54
East Midlands,S21 1,2023,136000,106
East Midlands,S21 2,2023,114000,11
East Midlands,S21 3,2023,125000,38
East Midlands,S21 4,2023,124000,79
East Midlands,S21 5,2023,229000,8
East Midlands,S25 1,2023,124000,15
East Midlands,S25 2,2023,94000,131
East Midlands,S25 3,2023,141000,48
East Midlands,S25 4,2023,126000,65
East Midlands,S25 5,2023,163000,36
East Midlands,S26 1,2023,223000,15
East Midlands,S26 2,2023,146000,85
East Midlands,S26 3,2023,109000,30
East Midlands,S26 4,2023,153000,80
East Midlands,S26 5,2023,145000,46
East Midlands,S26 6,2023,109000,77
East Midlands,S26 7,2023,152000,23
East Midlands,S3 7,2023,104000,81
East Midlands,S3 8,2023,131000,88
East Midlands,S3 9,2023,63000,28
East Midlands,S32 1,2023,266000,17
East Midlands,S32 2,2023,297000,10
East Midlands,S32 3,2023,428000,13
East Midlands,S32 4,2023,372000,3
East Midlands,S32 5,2023,217000,17
East Midlands,S33 0,2023,248000,26
East Midlands,S33 6,2023,248000,10
East Midlands,S33 7,2023,388000,3
East Midlands,S33 8,2023,259000,10
East Midlands,S33 9,2023,223000,23
East Midlands,S35 0,2023,199000,127
East Midlands,S35 1,2023,129000,87
East Midlands,S35 2,2023,133000,100
East Midlands,S35 3,2023,104000,42
East Midlands,S35 4,2023,121000,61
East Midlands,S35 7,2023,221000,25
East Midlands,S35 8,2023,167000,46
East Midlands,S35 9,2023,132000,60
East Midlands,S36 1,2023,103000,74
East Midlands,S36 2,2023,125000,92
East Midlands,S36 3,2023,123000,3
East Midlands,S36 4,2023,274000,12
East Midlands,S36 6,2023,136000,92
East Midlands,S36 7,2023,219000,28
East Midlands,S36 8,2023,253000,34
East Midlands,S36 9,2023,196000,59
East Midlands,S4 7,2023,82000,41
East Midlands,S4 8,2023,57000,67
East Midlands,S40 1,2023,113000,69
East Midlands,S40 2,2023,116000,135
East Midlands,S40 3,2023,206000,133
East Midlands,S40 4,2023,137000,132
East Midlands,S41 0,2023,133000,193
East Midlands,S41 7,2023,127000,102
East Midlands,S41 8,2023,135000,129
East Midlands,S41 9,2023,118000,62
East Midlands,S42 5,2023,123000,166
East Midlands,S42 6,2023,190000,166
East Midlands,S42 7,2023,199000,76
East Midlands,S43 1,2023,105000,143
East Midlands,S43 2,2023,103000,120
East Midlands,S43 3,2023,132000,150
East Midlands,S43 4,2023,132000,164
East Midlands,S44 5,2023,128000,86
East Midlands,S44 6,2023,116000,224
East Midlands,S45 0,2023,260000,18
